Country,Confucius Institute,Link,Active,City,Other Links,"date est.
(mm/dd/yyyy)",,
Belarus,Confucius Institute at Belarusian State University of Physical Culture,http://www.sportedu.by/,probably,Minsk,https://www.sportedu.by/institut-konfuciya-bgufk-priglashaet-na-kursy-kitajskogo-yazyka-i-kultury/,3/27/2015,,
Belgium,Confucius Institute in Brussels,http://www.belchin.be/,yes,Brussels,https://www.belchin.be/confucius-institute-in-brussels/,9/1/2006,,
Belgium,Confucius Institute in Liege,http://www.confucius.ulg.ac.be/,yes,Liège,"https://www.confucius.uliege.be/cms/c_11139446/fr/confucius

https://kzxy.bfsu.edu.cn/info/1088/1258.htm",10/17/2006,,
Belgium,Confucius Institute at University College West Flanders,https://www.confuciusinstituut.be/,probably,Kortrijk,,4/19/2012,,
Belgium,Confucius Institute at Group T-International Engineering Academy-University of Leuven,http://www.leuvenkongyuan.com/,yes,Leuven,,11/20/2008,,
Belgium,Confucius Institute at ULB,https://institutconfucius.ulb.be/,no,Brussels,https://www.universityworldnews.com/post.php?story=2020041709063826,,,
Belgium,Confucius Institute at VUB,http://www.vub.ac.be/en/confucius,no,Ixelles,https://www.universityworldnews.com/post.php?story=2020041709063826,,,
Benin,Confucius Institute at University of Abomey-Calavi,http://english.hanban.org/node_10954.htm,unlikely,Godomey,"https://china.aiddata.org/projects/31312

http://www.xinhuanet.com//english/2017-06/25/c_136393284.htm",,,
Bolivia,Confucius Institute at the University of San Simon,http://icumss.bol.chinesecio.com/,unlikely,Cochabamba,,9/3/2011,,
Bosnia and Herzegovina,Confucius Institute at University of Sarajevo,http://www.confucius.unsa.ba/,probably,Sarajevo,,4/2/2015,,
Bosnia and Herzegovina,Confucius Institute at University of Banja Luka,https://www.ki.unibl.org/,probably,Banja Luka,"https://www.ki.unibl.org/

https://www.unibl.org/en/university/management-and-administration/rectorate-of-the-university-of-banja-luka/the-confucius-institute

https://thesrpskatimes.com/chinese-new-year-celebrations-in-banja-luka/",1/21/2018,,
Botswana,Confucius Institute at the University of Botswana,http://english.hanban.org/node_10897.htm,probably,Gaborone,"https://www.ub.bw/discover/faculties/humanities/confucius-institute

https://www.ub.bw/about-ub/news/ciub-making-strides-advancing-chinese-language-culture",9/1/2009,,
Brazil,Confucius Institute at São Paulo State University,http://www.institutoconfucio.unesp.br/,yes,São Paulo,"https://www.institutoconfucio.com.br/faq-turmas-especiais-unesp/

https://eng.hubu.edu.cn/info/1027/1027.htm",,,
Brazil,Business Confucius Institute at FAAP,http://www.faap.br/institutoconfucio,yes,São Paulo,,,,
Brazil,Confucius Institute at the Federal University of Minas Gerais,http://www.institutoconfucio.ufmg.br/,yes,Belo Horizonte,https://www.institutoconfucio.ufmg.br/historico.php,11/1/2013,,
Brazil,Confucius Institute at the University of Pernambuco,http://www.confucioupe.com.br/,probably,Recife,https://www.forumchinaplp.org.mo/pernambuco-branch-of-confucius-institute-now-five-years-old/,11/1/2013,,
Brazil,Confucius Institute at Federal University of Rio Grande Do Sul,http://www.ufrgs.br/english/the-university/news/ufrgs-inaugurates-confucius-institute-in-cooperation-with-communication-university-of-china,probably,Porto Alegre,,7/10/1905,,
Brazil,Confucius Institute at University of Brasilia,http://english.hanban.org/node_8712.htm,yes,Brasília,https://www.facebook.com/confuciounb/,,,
Brazil,Confucius Institute at Pontifical Catholic University of Rio de Janeiro,http://confucius.puc-rio.br/,yes,Rio de Janeiro,,7/3/1905,,
Brazil,Confucius Institute at the State University of Campinas,http://www.institutoconfucio.unicamp.br/,yes,Campinas,,4/22/2015,,
Brazil,Confucius Institute at the State University of Pará,https://paginas.uepa.br/institutoconfucio/,unlikely,Belém,,,,
Brazil,Confucius Institute at the Federal University of Ceará,http://english.hanban.org/node_45759.htm,yes,Fortaleza,https://www.ufc.br/noticias/15903-concurso-da-china-de-inovacao-recebe-projetos-live-nesta-quarta-feira-14-orienta-interessados,,,
Brazil,Confucius Institute of Chinese Medicine at the Federal University of Goiás,http://zhuanti.hanban.org/videolist/?cat=793&tag=en,probably,Goiânia,http://ister.edu.ec/congreso/en/speakers/,,,
Bulgaria,Confucius Institute in Sofia,http://www.confuciusinstitute.bg/,yes,Sofia,,,,
Bulgaria,Confucius Institute at St. Cyril and St. Methodius University of Veliko Turnovo,http://confuciusinstitute-velikoturnovo.bg/,yes,Veliko Tarnovo,,,,
Burkina Faso,Confucius Institute at Bobo-Dioulasso Polytechnic University,http://zhuanti.hanban.org/videolist/?cat=679&tag=en,probably,Bobo-Dioulasso,https://www.africaknows.eu/wp-content/uploads/2020/12/Burkina-Faso-tertiarty-knowledge-development-final-draft.pdf,,,
Burundi,Confucius Institute at the University of Burundi,http://english.hanban.org/node_42043.htm,yes,Bujumbura,,,,
Cambodia,Confucius Institute of Royal Academy of Cambodia,http://english.hanban.org/node_10659.htm,yes,Phnom Penh,https://fulcrum.sg/cambodia-embraces-chinas-controversial-confucius-institutes/,12/22/2009,,
Cambodia,Confucius Institute at University of Battambang,http://zhuanti.hanban.org/videolist/?cat=670&tag=en,yes,Battambang,https://fulcrum.sg/cambodia-embraces-chinas-controversial-confucius-institutes/,12/26/2019,,
Cameroon,Confucius Institute at the University of Yaounde Ⅱ,http://english.hanban.org/node_10903.htm,unlikely,Soa,https://books.google.com/books?id=JmgREAAAQBAJ&pg=PA202&lpg=PA202&dq=Confucius+Institute+at+Toamasina+University&source=bl&ots=jAE614zu17&sig=ACfU3U0TUCcQUg8jRDpSf-OCEvwXvxHZPQ&hl=en&sa=X&ved=2ahUKEwjNlefzs5XyAhUsMlkFHaZABkUQ6AF6BAgLEAM#v=onepage&q=Confucius%20Institute%20at%20Toamasina%20University&f=false,11/9/2007,,
Canada,Confucius Institute at University of Regina,http://www.uregina.ca/international/confucius/index.html,yes,Regina,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,7/3/1905,,
Canada,Confucius Institute at BCIT,http://english.hanban.org/node_8603.htm,no,Burnaby,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,,,
Canada,Confucius Institute in Coquitlam,http://www.internationaled.com/,yes,Coquitlam,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,2/10/2009,,
Canada,Confucius Institute in Waterloo,https://uwaterloo.ca/renison/confucius-institute,yes,Waterloo,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,12/7/2015,,
Canada,Confucius Institute in Quebec,http://www.confuciusinstitute.qc.ca/,yes,Westmount,,,,
Canada,Confucius Institute in New Brunswick,http://www.cinb.ca/,no,,"https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down

https://www.theepochtimes.com/canadian-province-to-shut-down-chinas-confucius-institute_2811723.html",6/29/1905,,
Canada,Confucius Institute in Edmonton,http://www.confuciusedmonton.ca/,probably,Edmonton,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,6/30/1905,,
Canada,Confucius Institute at Brock University,http://www.brocku.ca/confucius-institute,no,St. Catharines,https://brocku.ca/brock-news/2020/05/brock-and-ci-winding-up-operations/,7/2/1905,,
Canada,Confucius Institute at Carleton University,http://www.carleton.ca/confucius-institute/,probably,Ottawa,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,7/4/1905,,
Canada,Confucius Institute at Saint Mary’s University,http://www.smu.ca/ci,yes,Halifax,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,10/25/2010,,
Canada,Confucius Institute at Seneca College,http://www.senecacollege.ca/confucius-institute/,yes,Toronto,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,12/24/2011,,
Canada,Confucius Institute at University of Saskatchewan,http://confuciusinstitute.usask.ca/,yes,Saskatoon,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,6/18/2012,,
Cape Verde,Confucius Institute at University of Cabo Verde,http://english.hanban.org/node_45672.htm,yes,Praia,https://english.gdufs.edu.cn/info/1042/2397.htm,12/18/2015,,
Central African Republic,Confucius Institute at University of Bangui,http://zhuanti.hanban.org/videolist/?cat=767&tag=en,probably,Bangui,https://www.scirp.org/journal/paperinformation.aspx?paperid=106287,11/16/2020,,
Chad,Confucius Institute at University of N’Djamena,http://zhuanti.hanban.org/videolist/?cat=768&tag=en,yes,N'Djamena,https://www.facebook.com/Icundj/,,,
Chile,Confucius Institute at University of Saint Thomas,http://www.confucioust.cl/,yes,Santiago,,4/28/2008,,
Chile,Confucius Institute at Catholic University,http://www.uc.cl/confuciouc,yes,Santiago,,7/1/1905,,
Chile,Confucius Institute at the University of La Frontera,http://zhuanti.hanban.org/videolist/?cat=794&tag=en,yes,Temuco,,12/10/2020,,
Colombia,Confucius Institute in Medellin,http://www.institutoconfuciomedellin.org/,yes,Medellín,,4/30/2010,,
Colombia,Confucius Institute at the University of Los Andes,http://confucio.uniandes.edu.co/,yes,Bogotá,,11/2/2007,,
Colombia,Confucius Institute at Jorge Tadeo Lozano University,http://www.utadeo.edu.co/es,yes,Bogotá,,10/29/2012,,
Comores,Confucius Institute at University of Comoros,http://english.hanban.org/node_42048.htm,probably,Mvouni,"https://www.unipage.net/en/24658/university_of_the_comoros

https://www.youtube.com/watch?v=IZ-AO9HpZls",7/10/1905,,
Congo,Confucius Institute at University of Marien NGOUABI,http://www.ku.ac.ke/,probably,Brazzaville,"https://www.ujn.edu.cn/en/info/1022/1045.htm

https://www.umng.cg/?q=en/node/74

https://m.cucas.cn/mobile_news/detail?id=6416",6/15/2012,,
Costa Rica,Confucius Institute at the University of Costa Rica,http://institutoconfucio.ucr.ac.cr/,yes,San José,https://thecostaricanews.com/mandarin-education-opens-the-doors-of-international-study-to-ticos/,11/17/2008,,
Croatia,Confucius Institute at University of Zagreb,http://www.ki.unizg.hr/,probably,Zagreb,"https://www.youtube.com/user/konfucijevinstitut
https://www.facebook.com/KonfucijevInstitut.UNIZG/

https://culture360.asef.org/resources/confucius-institute-university-zagreb/",,,
Cuba,Confucius Institute at the University of Havana,http://english.hanban.org/node_8692.htm,probably,Havana,"http://www.xinhuanet.com/english/2019-11/24/c_138579960.htm

http://english.www.gov.cn/news/international_exchanges/2016/09/25/content_281475451216868.htm",11/30/2009,,
Cyprus,Confucius Institute at University of Cyprus,http://english.hanban.org/node_42917.htm,yes,Nicosia,"https://www.ucy.ac.cy/confucius/en/

https://www.facebook.com/UCYConfuciusInstitute/",,,
Czech Republic,Confucius Institute at Palacký University,http://www.konfucius.upol.cz/,yes,Olomouc,,9/27/2007,,
Czech Republic,Confucius Institute at University of Finance and Administration,http://zhuanti.hanban.org/videolist/?cat=721&tag=en,yes,Prague,https://www.konfucius-vsfs.cz/,11/1/2018,,
Denmark,Confucius Institute at the Royal Danish Academy of Music,http://www.dkdm.dk/,no,Frederiksberg,https://english.dkdm.dk/Confucius-Institute/About-MCI,7/4/1905,,
Denmark,Confucius Institute at International Business Academy,http://www.iba.dk/fuldtidsuddannelser/confucius-classroom,probably,Kolding,,10/28/2015,,
Democratic People’s Republic of Korea,Chinese Language Center at Pyongyang University of Foreign Studies,http://zhuanti.hanban.org/videolist/?cat=763&tag=en,probably,Pyongyang,https://www.globaltimes.cn/content/1149588.shtml,5/7/2019,,
Ecuador,Confucius Institute at San Francisco University of Quito,http://www.usfq.edu.ec/sobre_la_usfq/servicios/instituto_confucio/Paginas/default.aspx,yes,Quito,"https://www.facebook.com/iconfucioecuador/

https://www.cup.edu.cn/english/Collaboration/Confucius/index.htm",12/1/2010,,
Egypt,Confucius Institute at Cairo University,http://english.hanban.org/node_10892.htm,yes,Giza,"https://cu.edu.eg/Cairo-University-News-12417.html
https://www.facebook.com/cu.edu.eg/posts/confucius-institute-at-cairo-university-organizes-eighth-tournament-of-chinese-l/1800105403363953/
https://newsen.pku.edu.cn/news_events/news/global/10734.htm",,,
Egypt,Confucius Institute at Suez Canal University,http://suez.edu.eg/,yes,Ismailia,https://www.fmprc.gov.cn/zfhzlt2018/eng/zfgx_4/rwjl/t1763430.htm,4/1/2008,,
El Salvador,Confucius Institute at the University of El Salvador,http://zhuanti.hanban.org/videolist/?cat=686&tag=en,yes,San Salvador,https://latinoamerica21.com/en/despite-u-s-pressure-chinas-presence-in-central-america-is-growing/,11/1/2019,,
Equatorial Guinea,Confucius Institute at National University of Equatorial Guinea,http://www.unge.education/,yes,Malabo,http://ci.zjnu.edu.cn/2018/0125/c10132a235132/page.htm,1/25/2016,,
Eritrea,Confucius Institute at National Board for Higher Education,http://english.hanban.org/node_42044.htm,unlikely,,https://shabait.com/2013/06/06/confucius-institute-opens-in-asmara/,6/6/2013,,
Estonia,Confucius Institute at Tallinn University,http://www.tlu.ee/konfutsius,yes,Tallinn,https://www.tlu.ee/chinese-bridge-voistlus,2/16/2010,,
Ethiopia,Confucius Institute at Technical & Vocational Education and Training Institute of Ethiopia,http://english.hanban.org/node_10957.htm,unlikely,Addis Ababa,https://www.facebook.com/102366064565066/posts/confucius-classroom-at-arsi-universityrecommended-articles-and-deeds-from-outsta/129365968531742/,,,
Ethiopia,Confucius Institute at Addis Ababa University,http://english.hanban.org/node_42037.htm,yes,Addis Ababa,http://www.xinhuanet.com/english/africa/2021-06/25/c_1310028114.htm,,9.0454777,38.7606751
Fiji,Confucius Institute at the University of the South Pacific,http://www.usp.ac.fj/,probably,Suva,,7/4/1905,,
Finland,Confucius Institute at the University of Helsinki,https://www.helsinki.fi/en/networks/confucius-institute,yes,Helsinki,,6/29/1905,,
France,Confucius Institute at the University of Poitiers,http://ic-up.org/,yes,Poitiers,https://www.ic-up.org/ICUP,10/1/2005,,
France,Confucius Institute at Paris Diderot University,http://konfuzius-institut.uni-graz.at/de/,yes,Paris,http://confucius.univ-paris7.fr/,,,
France,Confucius Institute of the Chinese Cultural Center in Paris,http://konfuzius-institut.uni-graz.at/de/,probably,Paris,https://books.google.com/books?id=JtPkDwAAQBAJ&pg=PA124&lpg=PA124&dq=Confucius+Institute+of+the+Chinese+Cultural+Center+in+Paris&source=bl&ots=JarF9H9SwG&sig=ACfU3U17hQaSo2KrB_EttdAmJTlrxjhzLA&hl=en&sa=X&ved=2ahUKEwja0o6Q9oPyAhUBlGoFHd2BDQMQ6AEwEXoECCoQAw#v=onepage&q=Confucius%20Institute%20of%20the%20Chinese%20Cultural%20Center%20in%20Paris&f=false,,,
France,Confucius Institute in Brittany,http://english.hanban.org/node_9165.htm,yes,Rennes,https://www.confucius-bretagne.org/,,,
France,Confucius Institute in La Rochelle,https://institut-confucius.univ-larochelle.fr/,yes,La Rochelle,,,,
France,Confucius Institute in Alsace,http://english.hanban.org/node_9163.htm,yes,Strasbourg,https://www.confuciusalsace.org/,9/15/2010,,
France,Confucius Institute in Clermont-Ferrand,http://www.confucius-clermont-auvergne.org/,yes,Clermont-Ferrand,,12/11/2007,,
France,Confucius Institute in Artois,http://www.univ-artois.fr/en/node/56,yes,Arras,,8/23/2008,,
France,Confucius Institute at Pays de la Loire,http://www.confucius-angers.eu/,yes,Angers,,11/1/2009,,
France,Confucius Institute at University of Lorraine,http://www.univ-lorraine.fr/content/institut-confucius,yes,Metz,https://www.univ-lorraine.fr/institut-confucius/,7/4/1905,,
France,Confucius Institute at University of French Polynesia,http://www.upf.pf/fr/content/linstitut-confucius,probably,Faaa,http://www.upf.pf/fr/linstitut-confucius,1/15/2013,,
France,Confucius Institute in Montpellier,http://institut-confucius-montpellier.org/,yes,Montpellier,,4/26/2013,,
France,Confucius Institute of Reunion Island,http://icr.fr.chinesecio.com/,yes,"Saint-Denis, Réunion",https://confucius.univ-reunion.fr/,2/8/2010,,
France,Neoma Confucius Institute for Business-Rouen,http://confucius.neoma-bs.fr/,yes,Mont-Saint-Aignan,https://www.facebook.com/NEOMACONFUCIUSINSTITUTEFORBUSINESS/,,,
France,Confucius Institute Cote d ‘Azur,http://english.hanban.org/node_45700.htm,probably,Nice,http://etudiants.nice.fr/Institut-Confucius-Cote-d-Azur.html,,,
France,Confucius Institute at ESCP Europe,http://zhuanti.hanban.org/videolist/?cat=432&tag=en,yes,Paris,https://ebci.eu/,5/13/2019,,
France,Confucius Institute at University of Orleans,http://zhuanti.hanban.org/videolist/?cat=719&tag=en,probably,Orléans,https://intl.csu.edu.cn/info/1026/1065.htm,7/8/2019,,
France,Confucius Institute at Pau,https://www.icpp.fr/,yes,Pau,,,,
Gabon,Confucius Institute at Omar Bongo University,http://zhuanti.hanban.org/videolist/?cat=675&tag=en,probably,Libreville,"https://www.scirp.org/pdf/OJPS_2019091914254324.pdf

https://www.gabonreview.com/cooperation-gabon-chine-linstitut-confucius-ouvre-ses-portes-a-luob/",12/18/2018,,
Gambia,Confucius Institute at University of the Gambia,http://zhuanti.hanban.org/videolist/?cat=674&tag=en,probably,Serekunda,https://www.utg.edu.gm/vice-chancellors-convocation-address/,10/15/2019,,
Georgia,Confucius Institute at Free University of Tbilisi,http://www.confucius.freeuni.edu.ge/,yes,Tbilisi,"https://www.facebook.com/Confucius-Institute-at-Free-University-of-Tbilisi-Georgia-163361037013560/

https://nsf.com.ge/en/news/234/the-prospect-of-confucius-institute-in-georgia",11/26/2010,,
Georgia,Confucius Institute at Tbilisi Open Teaching University,http://zhuanti.hanban.org/videolist/?cat=379&tag=en,yes,Tbilisi,"http://faoffice.lzu.edu.cn/hdmbi/bas/col_detail.php?id=1040

https://nsf.com.ge/en/news/234/the-prospect-of-confucius-institute-in-georgia",11/16/2017,,
,,,,,,,,
Germany,Confucius Institute at the Free University of Berlin,http://www.konfuziusinstitut-berlin.de/,yes,Berlin,,4/27/2006,,
Germany,Confucius Institute at the University of Duesseldorf,http://www.konfuzius-duesseldorf.de/,yes,Dusseldorf,https://www.nspirement.com/2020/08/23/germany-has-turned-against-its-confucius-institutes.html,6/28/1905,,
Germany,Confucius Institute in Nürnberg-Erlangen,https://www.konfuzius-institut.de/,yes,Erlangen,,5/2/2006,,
Germany,Confucius Institute at Frankfurt University,http://www.konfuzius-institut-frankfurt.de/,yes,Frankfurt,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,9/1/2007,,
Germany,Confucius Institute at Heidelberg University,http://www.konfuzius-institut-heidelberg.de/,yes,Heidelberg,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,7/1/1905,,
Germany,Confucius Institute at the University of Hamburg,http://www.konfuzius-institut-hamburg.de/,yes,Hamburg,https://www.nspirement.com/2020/08/23/germany-has-turned-against-its-confucius-institutes.html,9/20/2007,,
Germany,Leibniz-Confucius Institute Hannover,http://lkih.de/,yes,Hannover,,6/28/2016,,
Germany,Confucius Institute at the University of Leipzig,http://www.konfuziusinstitut-leipzig.de/,yes,Leipzig,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,4/18/2008,,
Germany,Confucius Institute in Munich,http://www.konfuzius-muenchen.de/,yes,Munich,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,9/1/2012,,
Germany,Confucius Institute in Bremen,http://www.konfuzius-institut-bremen.de/,yes,Bremen,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,10/23/2013,,
Germany,Confucius Institute Metropole Ruhr at the University of Duisburg-Essen,http://www.konfuzius-institut-ruhr.de/,yes,Duisburg,,11/6/2009,,
Germany,Confucius Institute at Erfurt University of Applied Sciences,http://www.ki-erfurt.de/,yes,Erfurt,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,,,
Germany,Confucius Institute at the University of Freiburg,https://www.ki-freiburg.de/,yes,Freiburg,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,6/9/2009,,
Germany,Confucius Institute at Trier University,http://www.konfuziusinstitut.uni-trier.de/,yes,Trier,,6/14/2011,,
Germany,Confucius Institute at University of Paderborn,http://konfuzius-paderborn.de/,yes,Paderborn,,6/1/2015,,
Germany,Academic Confucius Institute at University of Gottingen,http://english.hanban.org/node_42903.htm,probably,Göttingen,"https://sciencebusiness.net/technology-strategy-board/news/universities-wrestle-question-how-open-be-china
https://www.fu-berlin.de/en/featured-stories/campus/2021/210107-wissenschaftskooperationen-interview/index.html",7/2/2014,,
Germany,Confucius Institute at Fachhochschule Stralsund University of Applied Sciences,http://english.hanban.org/node_45694.htm,yes,Stralsund,http://www.hfuu.edu.cn/english/56/c3/c6092a87747/page.htm,8/30/2016,,
Germany,Audi Ingolstadt Confucius Institute,http://audi-konfuzius-institut-ingolstadt.de/,yes,Ingolstadt,"https://www.facebook.com/audikonfuziusinstitutingolstadt/
https://www.theepochtimes.com/german-politicians-call-to-stop-funding-confucius-institutes-with-german-taxpayers-money_3795697.html",5/23/2016,,
Germany,Confucius Institute Bonn,http://www.konfuzius-bonn.de/,yes,Bonn,https://konfuzius-bonn.de/termine/schnupperkurse/,4/26/2017,,
Ghana,Confucius Institute at the University of Ghana,http://english.hanban.org/node_42047.htm,yes,Accra,"https://www.facebook.com/ConfuciusInstituteattheUniversityofGhana/
http://gh.china-embassy.org/eng/zjgx/t177920.htm
http://www.xinhuanet.com/english/2020-07/08/c_139197913.htm",5/1/2013,,
Ghana,Confucius Institute at the University of Cape Coast,http://english.hanban.org/node_45664.htm,yes,Cape Coast,https://www.facebook.com/Confucius-Institute-at-University-of-Cape-Coast-121849225138873/,6/2/2016,,
Greece,Business Confucius Institute in Athens,http://www.confucius.aueb.gr/,yes,Athens,,7/1/1905,,
