id,confucius_institute,partner_uni,date_est,location_name,nearest_city,country,status,ci_webpage,sources,gl3_id,country_id
34,Confucius Institute at Francisk Skorina Gomel State University,,4/1/16,Belarusian State University,Gomel,Belarus,Closed,http://www.gsu.by/en/,http://confucius.gsu.by/en/news,150,182
35,Confucius Institute at Minsk State Linguistic University,,9/12/13,Minsk State University,Minsk,Belarus,Closed,http://www.mslu.by/,https://rsc.seu.edu.cn/rsc_en/2020/0218/c22025a317598/page.htm,152,182
36,Confucius Institute on Science and Technology at Belarusian National Technical University,,10/21/14,Belarusian National Technical University,Minsk,Belarus,Closed,http://www.bntu.by/,,153,182
37,Republican Confucius Institute of Sinology at Belarusian State University,,,Belarusian State University,,Belarus,Closed,,,150,182
38,Confucius Institute at Group T-International Engineering Academy-University of Leuven,,11/20/08,Katholieke Universiteit Leuven,Leuven,Belgium,Closed,http://www.leuvenkongyuan.com/,,230,160
39,Confucius Institute at ULB,,,ULB,Brussels,Belgium,Closed,https://institutconfucius.ulb.be/,https://www.universityworldnews.com/post.php?story=2020041709063826,231,160
40,Confucius Institute at University College West Flanders,,4/19/12,University College West Flanders,Kortrijk,Belgium,Closed,https://www.confuciusinstituut.be/,,232,160
41,Confucius Institute at VUB,,,VUB,Ixelles,Belgium,Closed,http://www.vub.ac.be/en/confucius,https://www.universityworldnews.com/post.php?story=2020041709063826,233,160
42,Confucius Institute in Brussels,,9/1/06,Brussels,Brussels,Belgium,Closed,http://www.belchin.be/,https://www.belchin.be/confucius-institute-in-brussels/,33,160
43,Confucius Institute in Liege,,10/17/06,Liege,Liege,Belgium,Closed,http://www.confucius.ulg.ac.be/,"https://www.confucius.uliege.be/cms/c_11139446/fr/confucius

https://kzxy.bfsu.edu.cn/info/1088/1258.htm",234,160
44,Confucius Institute at University of Abomey-Calavi,,,University of Abomey-Calavi,Godomey,Benin,Closed,http://english.hanban.org/node_10954.htm,"https://china.aiddata.org/projects/31312

http://www.xinhuanet.com//english/2017-06/25/c_136393284.htm",59,126
45,Confucius Institute at the University of San Simon,,9/3/11,University of San Simon,Cochabamba,Bolivia,Closed,http://icumss.bol.chinesecio.com/,,105,020
46,Confucius Institute at University of Banja Luka,,1/21/18,University of Banja Luka,Banja Luka,Bosnia and Herzegovina,Closed,https://www.ki.unibl.org/,"https://www.ki.unibl.org/

https://www.unibl.org/en/university/management-and-administration/rectorate-of-the-university-of-banja-luka/the-confucius-institute

https://thesrpskatimes.com/chinese-new-year-celebrations-in-banja-luka/",44,166
47,Confucius Institute at University of Sarajevo,,4/2/15,University of Sarajevo,Sarajevo,Bosnia and Herzegovina,Closed,http://www.confucius.unsa.ba/,,45,166
48,Confucius Institute at the University of Botswana,,9/1/09,University of Botswana,Gaborone,Botswana,Closed,http://english.hanban.org/node_10897.htm,"https://www.ub.bw/discover/faculties/humanities/confucius-institute

https://www.ub.bw/about-ub/news/ciub-making-strides-advancing-chinese-language-culture",42,097
49,Business Confucius Institute at FAAP,,,FAAP,São Paulo,Brazil,Closed,http://www.faap.br/institutoconfucio,,3429,021
50,Confucius Institute at Federal University of Rio Grande Do Sul,,7/10/05,University of Rio Grande Do Sul,Porto Alegre,Brazil,Open,http://www.ufrgs.br/english/the-university/news/ufrgs-inaugurates-confucius-institute-in-cooperation-with-communication-university-of-china,,3430,021
51,Confucius Institute at Pontifical Catholic University of Rio de Janeiro,,7/3/05,Pontifical Catholic University,Rio de Janeiro,Brazil,Open,http://confucius.puc-rio.br/,,3431,021
52,Confucius Institute at Sao Paulo State University,,,Sao Paulo State University,,Brazil,Open,,,3432,021
53,Confucius Institute at University of Brasilia,,,University of Brasilia,Brasília,Brazil,Closed,http://english.hanban.org/node_8712.htm,https://www.facebook.com/confuciounb/,3433,021
54,Confucius Institute at the Federal University of Ceara,,,University of Ceara,,Brazil,Closed,,,3434,021
55,Confucius Institute at the Federal University of Minas Gerais,,11/1/13,University of Minas Gerais,Belo Horizonte,Brazil,Open,http://www.institutoconfucio.ufmg.br/,https://www.institutoconfucio.ufmg.br/historico.php,3435,021
56,Confucius Institute at the State University of Campinas,,4/22/15,University of Campina,Campinas,Brazil,Closed,http://www.institutoconfucio.unicamp.br/,,3436,021
57,Confucius Institute at the State University of Para,,,University of Para,,Brazil,Closed,,,3437,021
58,Confucius Institute at the University of Pernambuco,,11/1/13,University of Pernambuco,Recife,Brazil,Closed,http://www.confucioupe.com.br/,https://www.forumchinaplp.org.mo/pernambuco-branch-of-confucius-institute-now-five-years-old/,3438,021
59,Confucius Institute of Chinese Medicine at the Federal University of Goias,,,University of Goias,,Brazil,Closed,,,3439,021
60,Confucius Institute at St. Cyril and St. Methodius University of Veliko Turnovo,,,St. Cyril and St. Methodius University,Veliko Tarnovo,Bulgaria,Open,http://confuciusinstitute-velikoturnovo.bg/,,148,183
61,Confucius Institute in Sofia,,,Sofia,Sofia,Bulgaria,Closed,http://www.confuciusinstitute.bg/,,109,183
62,Confucius Institute at Bobo-Dioulasso Polytechnic University,,,Bobo-Dioulasso Polytechnic University,Bobo-Dioulasso,Burkina Faso,Closed,http://zhuanti.hanban.org/videolist/?cat=679&tag=en,https://www.africaknows.eu/wp-content/uploads/2020/12/Burkina-Faso-tertiarty-knowledge-development-final-draft.pdf,2,070
63,Confucius Institute at the University of Burundi,,,University of Burundi,Bujumbura,Burundi,Closed,http://english.hanban.org/node_42043.htm,,31,098
64,Confucius Institute at University of Battambang,,12/26/19,University of Battambang,Battambang,Cambodia,Closed,http://zhuanti.hanban.org/videolist/?cat=670&tag=en,https://fulcrum.sg/cambodia-embraces-chinas-controversial-confucius-institutes/,107,226
65,Confucius Institute of Royal Academy of Cambodia,,12/22/09,of Royal Academy of Cambodia,Phnom Penh,Cambodia,Closed,http://english.hanban.org/node_10659.htm,https://fulcrum.sg/cambodia-embraces-chinas-controversial-confucius-institutes/,108,226
66,Confucius Institute at the University of Yaounde,,,University of Yaounde,,Cameroon,Closed,,,99,127
67,Confucius Institute at BCIT,,,BCIT,Burnaby,Canada,Closed,http://english.hanban.org/node_8603.htm,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,641,014
68,Confucius Institute at Brock University,,7/2/05,Brock University,St. Catharines,Canada,Open,http://www.brocku.ca/confucius-institute,https://brocku.ca/brock-news/2020/05/brock-and-ci-winding-up-operations/,642,014
69,Confucius Institute at Carleton University,,7/4/05,Carleton University,Ottawa,Canada,Closed,http://www.carleton.ca/confucius-institute/,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,643,014
70,Confucius Institute at Saint Mary's University,,,Saint Mary's University,,Canada,Closed,,,644,014
71,Confucius Institute at Seneca College,,12/24/11,Seneca College,Toronto,Canada,Open,http://www.senecacollege.ca/confucius-institute/,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,645,014
72,Confucius Institute at University of Regina,,7/3/05,University of Regina,Regina,Canada,Open,http://www.uregina.ca/international/confucius/index.html,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,646,014
73,Confucius Institute at University of Saskatchewan,,6/18/12,University of Saskatchewan,Saskatoon,Canada,Open,http://confuciusinstitute.usask.ca/,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,647,014
74,Confucius Institute in Coquitlam,,2/10/09,Coquitlam,Coquitlam,Canada,Closed,http://www.internationaled.com/,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,117,014
75,Confucius Institute in Edmonton,,6/30/05,Edmonton,Edmonton,Canada,Open,http://www.confuciusedmonton.ca/,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,155,014
76,Confucius Institute in New Brunswick,,6/29/05,New Brunswick,,Canada,Open,http://www.cinb.ca/,"https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down

https://www.theepochtimes.com/canadian-province-to-shut-down-chinas-confucius-institute_2811723.html",648,014
77,Confucius Institute in Quebec,,,Quebec,Westmount,Canada,Closed,http://www.confuciusinstitute.qc.ca/,,649,014
78,Confucius Institute in Waterloo,,12/7/15,Waterloo,Waterloo,Canada,Closed,https://uwaterloo.ca/renison/confucius-institute,https://truenorthfareast.com/news/confucius-institute-canada-closing-shut-down,593,014
79,Confucius Institute at University of Cabo Verde,,12/18/15,University of Cape Verde,Praia,Cabo Verde,Closed,http://english.hanban.org/node_45672.htm,https://english.gdufs.edu.cn/info/1042/2397.htm,39,071
80,Confucius Institute at University of Bangui,,11/16/20,University of Bangui,Bangui,Central African Republic,Closed,http://zhuanti.hanban.org/videolist/?cat=767&tag=en,https://www.scirp.org/journal/paperinformation.aspx?paperid=106287,52,128
81,Confucius Institute at University of N'Djamena,,,University of N'Djamena,,Chad,Closed,,,54,129
82,Confucius Institute at Catholic University,,7/1/05,Catholic University,Santiago,Chile,Open,http://www.uc.cl/confuciouc,,182,017
83,Confucius Institute at University of Saint Thomas,,4/28/08,University of Saint Thomas,Santiago,Chile,Open,http://www.confucioust.cl/,,183,017
84,Confucius Institute at the University of La Frontera,,12/10/20,University of La Frontera,Temuco,Chile,Closed,http://zhuanti.hanban.org/videolist/?cat=794&tag=en,,184,017
85,Confucius Institute of Hong Kong,,6/28/05,of Hong Kong,Kowloon,China,Closed,http://www.ci-ntu.com/,,1535,235
86,Confucius Institute at Jorge Tadeo Lozano University,,10/29/12,Jorge Tadeo Lozano University,Bogotá,Colombia,Closed,http://www.utadeo.edu.co/es,,487,038
87,Confucius Institute at the University of Los Andes,,11/2/07,University of Los Andes,Bogotá,Colombia,Closed,http://confucio.uniandes.edu.co/,,488,038
88,Confucius Institute in Medellin,,4/30/10,Medellin,Medellín,Colombia,Closed,http://www.institutoconfuciomedellin.org/,,489,038
89,Confucius Institute at University of Comoros,,7/10/05,University of Comoros,Mvouni,Comoros,Closed,http://english.hanban.org/node_42048.htm,"https://www.unipage.net/en/24658/university_of_the_comoros

https://www.youtube.com/watch?v=IZ-AO9HpZls",25,099
90,Confucius Institute at University of Marien NGOUABI,,6/15/12,University of Marien NGOUABI,Brazzaville,Congo,Closed,http://www.ku.ac.ke/,"https://www.ujn.edu.cn/en/info/1022/1045.htm

https://www.umng.cg/?q=en/node/74

https://m.cucas.cn/mobile_news/detail?id=6416",96,100
91,Confucius Institute at the University of Costa Rica,,11/17/08,University of Costa Rica,San José,Costa Rica,Closed,http://institutoconfucio.ucr.ac.cr/,https://thecostaricanews.com/mandarin-education-opens-the-doors-of-international-study-to-ticos/,34,039
92,Confucius Institute at University of Zagreb,,,University of Zagreb,Zagreb,Croatia,Closed,http://www.ki.unizg.hr/,"https://www.youtube.com/user/konfucijevinstitut
https://www.facebook.com/KonfucijevInstitut.UNIZG/

https://culture360.asef.org/resources/confucius-institute-university-zagreb/",56,167
93,Confucius Institute at the University of Havana,,11/30/09,University of Havana,Havana,Cuba,Closed,http://english.hanban.org/node_8692.htm,"http://www.xinhuanet.com/english/2019-11/24/c_138579960.htm

http://english.www.gov.cn/news/international_exchanges/2016/09/25/content_281475451216868.htm",109,040
94,Confucius Institute at University of Cyprus,,,University of Cyprus,Nicosia,Cyprus,Closed,http://english.hanban.org/node_42917.htm,"https://www.ucy.ac.cy/confucius/en/

https://www.facebook.com/UCYConfuciusInstitute/",22,138
95,Confucius Institute at Palacky University,,,Palacky University,,Czech Republic,Open,,,274,168
96,Confucius Institute at University of Finance and Administration,,11/1/18,University of Finance and Administration,Prague,Czech Republic,Closed,http://zhuanti.hanban.org/videolist/?cat=721&tag=en,https://www.konfucius-vsfs.cz/,168,168
97,Chinese Language Center at Pyongyang University of Foreign Studies,,5/7/19,Pyongyang University of Foreign Studies,Pyongyang,North Korea,Closed,http://zhuanti.hanban.org/videolist/?cat=763&tag=en,https://www.globaltimes.cn/content/1149588.shtml,63,240
98,Confucius Institute at International Business Academy,,10/28/15,International Business Academy,Kolding,Denmark,Closed,http://www.iba.dk/fuldtidsuddannelser/confucius-classroom,,14,169
99,Confucius Institute at the Royal Danish Academy of Music,,7/4/05,Royal Danish Academy of Music,Frederiksberg,Denmark,Closed,http://www.dkdm.dk/,https://english.dkdm.dk/Confucius-Institute/About-MCI,15,169
100,Confucius Institute at San Francisco University of Quito,,12/1/10,University of Quito,Quito,Ecuador,Open,http://www.usfq.edu.ec/sobre_la_usfq/servicios/instituto_confucio/Paginas/default.aspx,"https://www.facebook.com/iconfucioecuador/

https://www.cup.edu.cn/english/Collaboration/Confucius/index.htm",107,018
101,Confucius Institute at Cairo University,,,Cairo University,Giza,Egypt,Closed,http://english.hanban.org/node_10892.htm,"https://cu.edu.eg/Cairo-University-News-12417.html
https://www.facebook.com/cu.edu.eg/posts/confucius-institute-at-cairo-university-organizes-eighth-tournament-of-chinese-l/1800105403363953/
https://newsen.pku.edu.cn/news_events/news/global/10734.htm",134,140
102,Confucius Institute at Suez Canal University,,4/1/08,Suez Canal University,Ismailia,Egypt,Open,http://suez.edu.eg/,https://www.fmprc.gov.cn/zfhzlt2018/eng/zfgx_4/rwjl/t1763430.htm,135,140
103,Confucius Institute at the University of El Salvador,,11/1/19,University of El Salvador,San Salvador,El Salvador,Closed,http://zhuanti.hanban.org/videolist/?cat=686&tag=en,https://latinoamerica21.com/en/despite-u-s-pressure-chinas-presence-in-central-america-is-growing/,78,011
104,Confucius Institute at National University of Equatorial Guinea,,1/25/16,National University of Equatorial Guinea,Malabo,Equatorial Guinea,Closed,http://www.unge.education/,http://ci.zjnu.edu.cn/2018/0125/c10132a235132/page.htm,10,130
105,Confucius Institute at National Board for Higher Education,,6/6/13,National Board for Higher Education,Asmara,Eritrea,Closed,http://english.hanban.org/node_42044.htm,https://shabait.com/2013/06/06/confucius-institute-opens-in-asmara/,3,141
106,Confucius Institute at Tallinn University,,2/16/10,Tallinn University,Tallinn,Estonia,Open,http://www.tlu.ee/konfutsius,https://www.tlu.ee/chinese-bridge-voistlus,27,184
107,Confucius Institute at Addis Ababa University,,,Addis Ababa University,Addis Ababa,Ethiopia,Closed,http://english.hanban.org/node_42037.htm,http://www.xinhuanet.com/english/africa/2021-06/25/c_1310028114.htm,133,142
108,Confucius Institute at Technical & Vocational Education and Training Institute of Ethiopia,,,Technical & Vocational Education and Training Institute of Ethiopia,Addis Ababa,Ethiopia,Closed,http://english.hanban.org/node_10957.htm,https://www.facebook.com/102366064565066/posts/confucius-classroom-at-arsi-universityrecommended-articles-and-deeds-from-outsta/129365968531742/,134,142
109,Confucius Institute at the University of the South Pacific,,7/4/05,University of the South Pacific,Suva,Fiji,Closed,http://www.usp.ac.fj/,,48,026
110,Confucius Institute at the University of Helsinki,,6/29/05,University of Helsinki,Helsinki,Finland,Open,https://www.helsinki.fi/en/networks/confucius-institute,,214,185
111,Confucius Institute Cote d'Azur,,,Cote d'Azur,,France,Closed,,,2040,156
112,Confucius Institute at ESCP Europe,,5/13/19,ESCP Europe,Paris,France,Closed,http://zhuanti.hanban.org/videolist/?cat=432&tag=en,https://ebci.eu/,2041,156
113,Confucius Institute at Paris Diderot University,,,Paris Diderot University,Paris,France,Open,http://konfuzius-institut.uni-graz.at/de/,http://confucius.univ-paris7.fr/,2042,156
114,Confucius Institute at Pau,,,Pau,Pau,France,Closed,https://www.icpp.fr/,,1326,156
115,Confucius Institute at Pays de la Loire,,11/1/09,Pays de la Loire University,Angers,France,Closed,http://www.confucius-angers.eu/,,2043,156
116,Confucius Institute at University of French Polynesia,,1/15/13,University of French Polynesia,Faaa,France,Closed,http://www.upf.pf/fr/content/linstitut-confucius,http://www.upf.pf/fr/linstitut-confucius,2044,156
117,Confucius Institute at University of Lorraine,,7/4/05,University of Lorraine,Metz,France,Closed,http://www.univ-lorraine.fr/content/institut-confucius,https://www.univ-lorraine.fr/institut-confucius/,2045,156
118,Confucius Institute at University of Orleans,,7/8/19,University of Orleans,Orléans,France,Closed,http://zhuanti.hanban.org/videolist/?cat=719&tag=en,https://intl.csu.edu.cn/info/1026/1065.htm,2046,156
119,Confucius Institute at the University of Poitiers,,10/1/05,University of Poitiers,Poitiers,France,Closed,http://ic-up.org/,https://www.ic-up.org/ICUP,2047,156
120,Confucius Institute in Alsace,,9/15/10,Alsace,Strasbourg,France,Closed,http://english.hanban.org/node_9163.htm,https://www.confuciusalsace.org/,2048,156
121,Confucius Institute in Artois,,8/23/08,Artois,Arras,France,Closed,http://www.univ-artois.fr/en/node/56,,2049,156
122,Confucius Institute in Brittany,,,Brittany,Rennes,France,Closed,http://english.hanban.org/node_9165.htm,https://www.confucius-bretagne.org/,2050,156
123,Confucius Institute in Clermont-Ferrand,,12/11/07,Clermont-Ferrand,Clermont-Ferrand,France,Closed,http://www.confucius-clermont-auvergne.org/,,414,156
124,Confucius Institute in La Rochelle,,,La Rochelle,La Rochelle,France,Closed,https://institut-confucius.univ-larochelle.fr/,,828,156
125,Confucius Institute in Montpellier,,4/26/13,Montpellier,Montpellier,France,Closed,http://institut-confucius-montpellier.org/,,1188,156
126,Confucius Institute of Reunion Island,,2/8/10,of Reunion Island,"Saint-Denis, Réunion",France,Closed,http://icr.fr.chinesecio.com/,https://confucius.univ-reunion.fr/,2051,156
127,Confucius Institute of the Chinese Cultural Center in Paris,,,Paris,Paris,France,Open,http://konfuzius-institut.uni-graz.at/de/,https://books.google.com/books?id=JtPkDwAAQBAJ&pg=PA124&lpg=PA124&dq=Confucius+Institute+of+the+Chinese+Cultural+Center+in+Paris&source=bl&ots=JarF9H9SwG&sig=ACfU3U17hQaSo2KrB_EttdAmJTlrxjhzLA&hl=en&sa=X&ved=2ahUKEwja0o6Q9oPyAhUBlGoFHd2BDQMQ6AEwEXoECCoQAw#v=onepage&q=Confucius%20Institute%20of%20the%20Chinese%20Cultural%20Center%20in%20Paris&f=false,1322,156
128,Neoma Confucius Institute for Business-Rouen,,,Neoma,Mont-Saint-Aignan,France,Closed,http://confucius.neoma-bs.fr/,https://www.facebook.com/NEOMACONFUCIUSINSTITUTEFORBUSINESS/,2052,156
129,Confucius Institute at Omar Bongo University,,12/18/18,Omar Bongo University,Libreville,Gabon,Closed,http://zhuanti.hanban.org/videolist/?cat=675&tag=en,"https://www.scirp.org/pdf/OJPS_2019091914254324.pdf

https://www.gabonreview.com/cooperation-gabon-chine-linstitut-confucius-ouvre-ses-portes-a-luob/",56,102
130,Confucius Institute at University of the Gambia,,10/15/19,University of the Gambia,Serekunda,Gambia,Closed,http://zhuanti.hanban.org/videolist/?cat=674&tag=en,https://www.utg.edu.gm/vice-chancellors-convocation-address/,15,073
131,Confucius Institute at Free University of Tbilisi,,11/26/10,University of Tbilisi,Tbilisi,Georgia,Open,http://www.confucius.freeuni.edu.ge/,"https://www.facebook.com/Confucius-Institute-at-Free-University-of-Tbilisi-Georgia-163361037013560/

https://nsf.com.ge/en/news/234/the-prospect-of-confucius-institute-in-georgia",56,186
132,Confucius Institute at Tbilisi Open Teaching University,,11/16/17,Tbilisi Open Teaching University,Tbilisi,Georgia,Closed,http://zhuanti.hanban.org/videolist/?cat=379&tag=en,"http://faoffice.lzu.edu.cn/hdmbi/bas/col_detail.php?id=1040

https://nsf.com.ge/en/news/234/the-prospect-of-confucius-institute-in-georgia",36,186
133,Academic Confucius Institute at University of Gottingen,,7/2/14,University of Gottingen,Göttingen,Germany,Closed,http://english.hanban.org/node_42903.htm,"https://sciencebusiness.net/technology-strategy-board/news/universities-wrestle-question-how-open-be-china
https://www.fu-berlin.de/en/featured-stories/campus/2021/210107-wissenschaftskooperationen-interview/index.html",2641,161
134,Audi Ingolstadt Confucius Institute,,5/23/16,Audi Ingolstadt,Ingolstadt,Germany,Closed,http://audi-konfuzius-institut-ingolstadt.de/,"https://www.facebook.com/audikonfuziusinstitutingolstadt/
https://www.theepochtimes.com/german-politicians-call-to-stop-funding-confucius-institutes-with-german-taxpayers-money_3795697.html",2642,161
135,Confucius Institute Bonn,,4/26/17,Bonn,Bonn,Germany,Closed,http://www.konfuzius-bonn.de/,https://konfuzius-bonn.de/termine/schnupperkurse/,334,161
136,Confucius Institute Metropole Ruhr at the University of Duisburg-Essen,,11/6/09,University of Duisburg-Essen,Duisburg,Germany,Open,http://www.konfuzius-institut-ruhr.de/,,2643,161
137,Confucius Institute at Erfurt University of Applied Sciences,,,Erfurt University of Applied Sciences,Erfurt,Germany,Closed,http://www.ki-erfurt.de/,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,2644,161
138,Confucius Institute at Fachhochschule Stralsund University of Applied Sciences,,8/30/16,Hochschule Stralsund College,Stralsund,Germany,Closed,http://english.hanban.org/node_45694.htm,http://www.hfuu.edu.cn/english/56/c3/c6092a87747/page.htm,2645,161
139,Confucius Institute at Frankfurt University,,9/1/07,Frankfurt University,Frankfurt,Germany,Closed,http://www.konfuzius-institut-frankfurt.de/,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,2646,161
140,Confucius Institute at Heidelberg University,,7/1/05,Heidelberg University,Heidelberg,Germany,Closed,http://www.konfuzius-institut-heidelberg.de/,https://www.konfuzius-institut.de/veranstaltungsprogramm/veranstaltungsvorschau/event/2078-5.html,2647,161
141,Confucius Institute at Trier University,,6/14/11,Trier University,Trier,Germany,Open,http://www.konfuziusinstitut.uni-trier.de/,,2648,161
142,Confucius Institute at University of Paderborn,,6/1/15,University of Paderborn,Paderborn,Germany,Closed,http://konfuzius-paderborn.de/,,2649,161
143,Confucius Institute at the Free University of Berlin,,4/27/06,University of Berlin,Berlin,Germany,Closed,http://www.konfuziusinstitut-berlin.de/,,2650,161
